# Variable: nd
# Sample shape: (10L, 2L, 2L)
# Date: 2015-07-22 12:14:35.219000
2.505665167922203729e+00,1.002368594502258903e+00,1.094935659892475099e+00,1.213747898326763552e+00
1.105194613298026596e+00,-1.040499480535421739e-01,2.699986096523588230e+00,1.600789773120041337e+00
2.065223793291559140e+00,2.378103843174206311e+00,7.602666554576263946e-01,2.251120569808868765e-01
1.351952461903421998e+00,-8.075993396066731833e-01,1.544299691198876001e+00,6.199983493001578472e-01
1.601782011387794302e+00,8.559957547289898105e-01,2.577623533138382328e+00,1.139485320514938227e+00
-6.294693949253729048e-01,1.535749603461173507e+00,-6.476283365244048795e-01,1.334852316334303790e+00
-2.669256499234944346e-01,8.444955553089610323e-01,3.846398607329842845e-01,2.657822869142662192e+00
6.946265821746441249e-01,8.487771586361498866e-01,6.881755179325725891e-01,9.702363440778131176e-01
4.223472911065728752e-03,1.127829455510871215e+00,1.225936481821832347e+00,1.347360270315863806e-01
2.999345426861934172e+00,-7.592224898082828854e-01,8.475901528749799629e-01,2.319509269298936083e-02
